"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv006302","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"asv006303","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10"
"asv006305","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"asv006306","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Simplicispira"
"asv006310","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae",NA
"asv006312","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea"
"asv006316","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"asv006327","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"asv006328","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","KF-JG30-B3",NA
"asv006329","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA
"asv006330","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus Protochlamydia"
"asv006331","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1"
"asv006333","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"asv006335","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13",NA
"asv006336","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"asv006339","Bacteria","Chloroflexi",NA,NA,NA,NA
"asv006341","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",NA,NA
"asv006343","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Planifilum"
"asv006344","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
